lakeID	timestamp	localTZ	daylightSavings	wind
Loch	2016-07-14 14:00:00	Mountain	yes	3.71
Loch	2016-07-14 15:00:00	Mountain	yes	4.46
Loch	2016-07-14 16:00:00	Mountain	yes	4.17
Loch	2016-07-14 17:00:00	Mountain	yes	3.63
Loch	2016-07-14 18:00:00	Mountain	yes	4.03
Loch	2016-07-14 19:00:00	Mountain	yes	3.79
Loch	2016-07-14 20:00:00	Mountain	yes	3.21
Loch	2016-07-14 21:00:00	Mountain	yes	0.68
Loch	2016-07-14 22:00:00	Mountain	yes	0
Loch	2016-07-14 23:00:00	Mountain	yes	0
Loch	2016-07-15 00:00:00	Mountain	yes	0.6
Loch	2016-07-15 01:00:00	Mountain	yes	1.68
Loch	2016-07-15 02:00:00	Mountain	yes	1.25
Loch	2016-07-15 03:00:00	Mountain	yes	0.68
Loch	2016-07-15 04:00:00	Mountain	yes	1.16
Loch	2016-07-15 05:00:00	Mountain	yes	0.88
Loch	2016-07-15 06:00:00	Mountain	yes	1.54
Loch	2016-07-15 07:00:00	Mountain	yes	2.52
Loch	2016-07-15 08:00:00	Mountain	yes	2.93
Loch	2016-07-15 09:00:00	Mountain	yes	2.78
Loch	2016-07-15 10:00:00	Mountain	yes	3.01
Loch	2016-07-15 11:00:00	Mountain	yes	3.29
Loch	2016-07-15 12:00:00	Mountain	yes	3.22
Loch	2016-07-15 13:00:00	Mountain	yes	3.84
Loch	2016-07-15 14:00:00	Mountain	yes	2.01
Loch	2016-07-15 15:00:00	Mountain	yes	2.21
Loch	2016-07-15 16:00:00	Mountain	yes	2.76
Loch	2016-07-15 17:00:00	Mountain	yes	3.39
Loch	2016-07-15 18:00:00	Mountain	yes	3.61
Loch	2016-07-15 19:00:00	Mountain	yes	1.8
Loch	2016-07-15 20:00:00	Mountain	yes	1.46
Loch	2016-07-15 21:00:00	Mountain	yes	0.1
Loch	2016-07-15 22:00:00	Mountain	yes	0.21
Loch	2016-07-15 23:00:00	Mountain	yes	0.62
Loch	2016-07-16 00:00:00	Mountain	yes	0.15
Loch	2016-07-16 01:00:00	Mountain	yes	0.04
Loch	2016-07-16 02:00:00	Mountain	yes	0.02
Loch	2016-07-16 03:00:00	Mountain	yes	0.05
Loch	2016-07-16 04:00:00	Mountain	yes	0.06
Loch	2016-07-16 05:00:00	Mountain	yes	0.15
Loch	2016-07-16 06:00:00	Mountain	yes	0.11
Loch	2016-07-16 07:00:00	Mountain	yes	0.1
Loch	2016-07-16 08:00:00	Mountain	yes	1.15
Loch	2016-07-16 09:00:00	Mountain	yes	4.34
Loch	2016-07-16 10:00:00	Mountain	yes	5
Loch	2016-07-16 11:00:00	Mountain	yes	5.4
Loch	2016-07-16 12:00:00	Mountain	yes	4.43
Loch	2016-07-16 13:00:00	Mountain	yes	3.7
Loch	2016-07-16 14:00:00	Mountain	yes	5.38
Loch	2016-07-16 15:00:00	Mountain	yes	3.89
Loch	2016-07-16 16:00:00	Mountain	yes	3.62
Loch	2016-07-16 17:00:00	Mountain	yes	3.58
Loch	2016-07-16 18:00:00	Mountain	yes	3.97
Loch	2016-07-16 19:00:00	Mountain	yes	4.02
Loch	2016-07-16 20:00:00	Mountain	yes	1.8
Loch	2016-07-16 21:00:00	Mountain	yes	1.58
Loch	2016-07-16 22:00:00	Mountain	yes	0.87
Loch	2016-07-16 23:00:00	Mountain	yes	0.44
Loch	2016-07-17 00:00:00	Mountain	yes	0.01
Loch	2016-07-17 01:00:00	Mountain	yes	0.03
Loch	2016-07-17 02:00:00	Mountain	yes	0.01
Loch	2016-07-17 03:00:00	Mountain	yes	0.02
Loch	2016-07-17 04:00:00	Mountain	yes	0.04
Loch	2016-07-17 05:00:00	Mountain	yes	0.03
Loch	2016-07-17 06:00:00	Mountain	yes	0.08
Loch	2016-07-17 07:00:00	Mountain	yes	0.05
Loch	2016-07-17 08:00:00	Mountain	yes	0.36
Loch	2016-07-17 09:00:00	Mountain	yes	1.48
Loch	2016-07-17 10:00:00	Mountain	yes	4.06
Loch	2016-07-17 11:00:00	Mountain	yes	3.98
Loch	2016-07-17 12:00:00	Mountain	yes	4.2
Loch	2016-07-17 13:00:00	Mountain	yes	4.51
Loch	2016-07-17 14:00:00	Mountain	yes	4.83
Loch	2016-07-17 15:00:00	Mountain	yes	4.76
Loch	2016-07-17 16:00:00	Mountain	yes	3.9
Loch	2016-07-17 17:00:00	Mountain	yes	3.74
Loch	2016-07-17 18:00:00	Mountain	yes	3.27
Loch	2016-07-17 19:00:00	Mountain	yes	2.55
Loch	2016-07-17 20:00:00	Mountain	yes	3.52
Loch	2016-07-17 21:00:00	Mountain	yes	2.01
Loch	2016-07-17 22:00:00	Mountain	yes	0.55
Loch	2016-07-17 23:00:00	Mountain	yes	0.7
Loch	2016-07-18 00:00:00	Mountain	yes	0.05
Loch	2016-07-18 01:00:00	Mountain	yes	0
Loch	2016-07-18 02:00:00	Mountain	yes	0.48
Loch	2016-07-18 03:00:00	Mountain	yes	1
Loch	2016-07-18 04:00:00	Mountain	yes	3.33
Loch	2016-07-18 05:00:00	Mountain	yes	1.96
Loch	2016-07-18 06:00:00	Mountain	yes	1.69
Loch	2016-07-18 07:00:00	Mountain	yes	3.61
Loch	2016-07-18 08:00:00	Mountain	yes	3.57
Loch	2016-07-18 09:00:00	Mountain	yes	2.29
Loch	2016-07-18 10:00:00	Mountain	yes	1.45
Loch	2016-07-18 11:00:00	Mountain	yes	1.57
Loch	2016-07-18 12:00:00	Mountain	yes	3.24
Loch	2016-07-18 13:00:00	Mountain	yes	2.99
Loch	2016-07-18 14:00:00	Mountain	yes	2.65
Loch	2016-07-18 15:00:00	Mountain	yes	2.27
Loch	2016-07-18 16:00:00	Mountain	yes	3.03
Loch	2016-07-18 17:00:00	Mountain	yes	2.34
Loch	2016-07-18 18:00:00	Mountain	yes	2.7
Loch	2016-07-18 19:00:00	Mountain	yes	2.76
Loch	2016-07-18 20:00:00	Mountain	yes	2.02
Loch	2016-07-18 21:00:00	Mountain	yes	0.9
Loch	2016-07-18 22:00:00	Mountain	yes	1.81
Loch	2016-07-18 23:00:00	Mountain	yes	2.14
Loch	2016-07-19 00:00:00	Mountain	yes	3.29
Loch	2016-07-19 01:00:00	Mountain	yes	4.36
Loch	2016-07-19 02:00:00	Mountain	yes	4.77
Loch	2016-07-19 03:00:00	Mountain	yes	4.62
Loch	2016-07-19 04:00:00	Mountain	yes	4.81
Loch	2016-07-19 05:00:00	Mountain	yes	6.19
Loch	2016-07-19 06:00:00	Mountain	yes	4.73
Loch	2016-07-19 07:00:00	Mountain	yes	4.91
Loch	2016-07-19 08:00:00	Mountain	yes	3.47
Loch	2016-07-19 09:00:00	Mountain	yes	4.07
Loch	2016-07-19 10:00:00	Mountain	yes	3.38
Loch	2016-07-19 11:00:00	Mountain	yes	3.63
Loch	2016-07-19 12:00:00	Mountain	yes	3.33
Loch	2016-07-19 13:00:00	Mountain	yes	5.48
Loch	2016-07-19 14:00:00	Mountain	yes	4.83
Loch	2016-07-19 15:00:00	Mountain	yes	3.42
Loch	2016-07-19 16:00:00	Mountain	yes	3.34
Loch	2016-07-19 17:00:00	Mountain	yes	3.56
Loch	2016-07-19 18:00:00	Mountain	yes	3.67
Loch	2016-07-19 19:00:00	Mountain	yes	2.06
Loch	2016-07-19 20:00:00	Mountain	yes	2.23
Loch	2016-07-19 21:00:00	Mountain	yes	2.05
Loch	2016-07-19 22:00:00	Mountain	yes	2.27
Loch	2016-07-19 23:00:00	Mountain	yes	2.32
Loch	2016-07-20 00:00:00	Mountain	yes	2.74
Loch	2016-07-20 01:00:00	Mountain	yes	2.88
Loch	2016-07-20 02:00:00	Mountain	yes	3.24
Loch	2016-07-20 03:00:00	Mountain	yes	3.98
Loch	2016-07-20 04:00:00	Mountain	yes	4.13
Loch	2016-07-20 05:00:00	Mountain	yes	4.79
Loch	2016-07-20 06:00:00	Mountain	yes	4.95
Loch	2016-07-20 07:00:00	Mountain	yes	5.14
Loch	2016-07-20 08:00:00	Mountain	yes	4.4
Loch	2016-07-20 09:00:00	Mountain	yes	3.26
Loch	2016-07-20 10:00:00	Mountain	yes	3.25
Loch	2016-07-20 11:00:00	Mountain	yes	3.86
Loch	2016-07-20 12:00:00	Mountain	yes	3.13
Loch	2016-07-20 13:00:00	Mountain	yes	2.54
Loch	2016-07-20 14:00:00	Mountain	yes	2.6
Loch	2016-07-20 15:00:00	Mountain	yes	2.4
Loch	2016-07-20 16:00:00	Mountain	yes	2.19
Loch	2016-07-20 17:00:00	Mountain	yes	1.6
Loch	2016-07-20 18:00:00	Mountain	yes	1.42
Loch	2016-07-20 19:00:00	Mountain	yes	0.38
Loch	2016-07-20 20:00:00	Mountain	yes	0.84
Loch	2016-07-20 21:00:00	Mountain	yes	2.79
Loch	2016-07-20 22:00:00	Mountain	yes	2.78
Loch	2016-07-20 23:00:00	Mountain	yes	2.1
Loch	2016-07-21 00:00:00	Mountain	yes	4.59
Loch	2016-07-21 01:00:00	Mountain	yes	4.73
Loch	2016-07-21 02:00:00	Mountain	yes	4.32
Loch	2016-07-21 03:00:00	Mountain	yes	3.84
Loch	2016-07-21 04:00:00	Mountain	yes	3.56
Loch	2016-07-21 05:00:00	Mountain	yes	2.8
Loch	2016-07-21 06:00:00	Mountain	yes	2.59
Loch	2016-07-21 07:00:00	Mountain	yes	2.47
Loch	2016-07-21 08:00:00	Mountain	yes	2.25
Loch	2016-07-21 09:00:00	Mountain	yes	1.61
Loch	2016-07-21 10:00:00	Mountain	yes	4.58
Loch	2016-07-21 11:00:00	Mountain	yes	2.92
Loch	2016-07-21 12:00:00	Mountain	yes	2.84
Loch	2016-07-21 13:00:00	Mountain	yes	1.96
Loch	2016-07-21 14:00:00	Mountain	yes	2.05
Loch	2016-07-21 15:00:00	Mountain	yes	1.88
Loch	2016-07-21 16:00:00	Mountain	yes	1.39
Loch	2016-07-21 17:00:00	Mountain	yes	1.55
Loch	2016-07-21 18:00:00	Mountain	yes	0.11
Loch	2016-07-21 19:00:00	Mountain	yes	0.68
Loch	2016-07-21 20:00:00	Mountain	yes	0.02
Loch	2016-07-21 21:00:00	Mountain	yes	0.5
Loch	2016-07-21 22:00:00	Mountain	yes	0.9
Loch	2016-07-21 23:00:00	Mountain	yes	1.14
Loch	2016-07-22 00:00:00	Mountain	yes	0.58
Loch	2016-07-22 01:00:00	Mountain	yes	0.66
Loch	2016-07-22 02:00:00	Mountain	yes	0.75
Loch	2016-07-22 03:00:00	Mountain	yes	0.94
Loch	2016-07-22 04:00:00	Mountain	yes	0.95
Loch	2016-07-22 05:00:00	Mountain	yes	1.98
Loch	2016-07-22 06:00:00	Mountain	yes	4.71
Loch	2016-07-22 07:00:00	Mountain	yes	4.94
Loch	2016-07-22 08:00:00	Mountain	yes	4.02
Loch	2016-07-22 09:00:00	Mountain	yes	3.3
Loch	2016-07-22 10:00:00	Mountain	yes	3.85
Loch	2016-07-22 11:00:00	Mountain	yes	3.64
Loch	2016-07-22 12:00:00	Mountain	yes	3.63
Loch	2016-07-22 13:00:00	Mountain	yes	3.31
Loch	2016-07-22 14:00:00	Mountain	yes	3.38
Loch	2016-07-22 15:00:00	Mountain	yes	2.77
Loch	2016-07-22 16:00:00	Mountain	yes	2.67
Loch	2016-07-22 17:00:00	Mountain	yes	2.88
Loch	2016-07-22 18:00:00	Mountain	yes	2.67
Loch	2016-07-22 19:00:00	Mountain	yes	2.55
Loch	2016-07-22 20:00:00	Mountain	yes	2.58
Loch	2016-07-22 21:00:00	Mountain	yes	3.64
Loch	2016-07-22 22:00:00	Mountain	yes	4.22
Loch	2016-07-22 23:00:00	Mountain	yes	4.78
Loch	2016-07-23 00:00:00	Mountain	yes	4.79
Loch	2016-07-23 01:00:00	Mountain	yes	4.08
Loch	2016-07-23 02:00:00	Mountain	yes	4.58
Loch	2016-07-23 03:00:00	Mountain	yes	5.57
Loch	2016-07-23 04:00:00	Mountain	yes	4.93
Loch	2016-07-23 05:00:00	Mountain	yes	3.9
Loch	2016-07-23 06:00:00	Mountain	yes	3.97
Loch	2016-07-23 07:00:00	Mountain	yes	4.2
Loch	2016-07-23 08:00:00	Mountain	yes	4.07
Loch	2016-07-23 09:00:00	Mountain	yes	3.48
Loch	2016-07-23 10:00:00	Mountain	yes	3.17
Loch	2016-07-23 11:00:00	Mountain	yes	2.7
Loch	2016-07-23 12:00:00	Mountain	yes	2.55
Loch	2016-07-23 13:00:00	Mountain	yes	2.62
Loch	2016-07-23 14:00:00	Mountain	yes	4.2
Loch	2016-07-23 15:00:00	Mountain	yes	2.76
Loch	2016-07-23 16:00:00	Mountain	yes	2.71
Loch	2016-07-23 17:00:00	Mountain	yes	2.87
Loch	2016-07-23 18:00:00	Mountain	yes	3.22
Loch	2016-07-23 19:00:00	Mountain	yes	2.46
Loch	2016-07-23 20:00:00	Mountain	yes	2.45
Loch	2016-07-23 21:00:00	Mountain	yes	2.16
Loch	2016-07-23 22:00:00	Mountain	yes	0.84
Loch	2016-07-23 23:00:00	Mountain	yes	0.22
Loch	2016-07-24 00:00:00	Mountain	yes	0.42
Loch	2016-07-24 01:00:00	Mountain	yes	0.01
Loch	2016-07-24 02:00:00	Mountain	yes	0.04
Loch	2016-07-24 03:00:00	Mountain	yes	0.85
Loch	2016-07-24 04:00:00	Mountain	yes	3.46
Loch	2016-07-24 05:00:00	Mountain	yes	2.73
Loch	2016-07-24 06:00:00	Mountain	yes	0.8
Loch	2016-07-24 07:00:00	Mountain	yes	1.71
Loch	2016-07-24 08:00:00	Mountain	yes	2.15
Loch	2016-07-24 09:00:00	Mountain	yes	3.05
Loch	2016-07-24 10:00:00	Mountain	yes	2.97
Loch	2016-07-24 11:00:00	Mountain	yes	2.64
Loch	2016-07-24 12:00:00	Mountain	yes	2.9
Loch	2016-07-24 13:00:00	Mountain	yes	2.44
Loch	2016-07-24 14:00:00	Mountain	yes	2.29
Loch	2016-07-24 15:00:00	Mountain	yes	2.59
Loch	2016-07-24 16:00:00	Mountain	yes	3.57
Loch	2016-07-24 17:00:00	Mountain	yes	2.69
Loch	2016-07-24 18:00:00	Mountain	yes	3.54
Loch	2016-07-24 19:00:00	Mountain	yes	3.34
Loch	2016-07-24 20:00:00	Mountain	yes	1.58
Loch	2016-07-24 21:00:00	Mountain	yes	1.34
Loch	2016-07-24 22:00:00	Mountain	yes	0.16
Loch	2016-07-24 23:00:00	Mountain	yes	0.05
Loch	2016-07-25 00:00:00	Mountain	yes	0.1
Loch	2016-07-25 01:00:00	Mountain	yes	0
Loch	2016-07-25 02:00:00	Mountain	yes	0.66
Loch	2016-07-25 03:00:00	Mountain	yes	1.06
Loch	2016-07-25 04:00:00	Mountain	yes	1.06
Loch	2016-07-25 05:00:00	Mountain	yes	1.03
Loch	2016-07-25 06:00:00	Mountain	yes	0.69
Loch	2016-07-25 07:00:00	Mountain	yes	0.95
Loch	2016-07-25 08:00:00	Mountain	yes	2.01
Loch	2016-07-25 09:00:00	Mountain	yes	2.45
Loch	2016-07-25 10:00:00	Mountain	yes	3.32
Loch	2016-07-25 11:00:00	Mountain	yes	2.67
Loch	2016-07-25 12:00:00	Mountain	yes	2.67
Loch	2016-07-25 13:00:00	Mountain	yes	3.4
Loch	2016-07-25 14:00:00	Mountain	yes	3.59
Loch	2016-07-25 15:00:00	Mountain	yes	2.63
Loch	2016-07-25 16:00:00	Mountain	yes	2.91
Loch	2016-07-25 17:00:00	Mountain	yes	2.07
Loch	2016-07-25 18:00:00	Mountain	yes	1.15
Loch	2016-07-25 19:00:00	Mountain	yes	0.08
Loch	2016-07-25 20:00:00	Mountain	yes	1.96
Loch	2016-07-25 21:00:00	Mountain	yes	0.85
Loch	2016-07-25 22:00:00	Mountain	yes	0.08
Loch	2016-07-25 23:00:00	Mountain	yes	0.15
Loch	2016-07-26 00:00:00	Mountain	yes	1.52
Loch	2016-07-26 01:00:00	Mountain	yes	1.38
Loch	2016-07-26 02:00:00	Mountain	yes	1.7
Loch	2016-07-26 03:00:00	Mountain	yes	2.12
Loch	2016-07-26 04:00:00	Mountain	yes	2.75
Loch	2016-07-26 05:00:00	Mountain	yes	3.07
Loch	2016-07-26 06:00:00	Mountain	yes	2.98
Loch	2016-07-26 07:00:00	Mountain	yes	1.9
Loch	2016-07-26 08:00:00	Mountain	yes	2.54
Loch	2016-07-26 09:00:00	Mountain	yes	3.3
Loch	2016-07-26 10:00:00	Mountain	yes	2.94
Loch	2016-07-26 11:00:00	Mountain	yes	2.86
Loch	2016-07-26 12:00:00	Mountain	yes	2.82
Loch	2016-07-26 13:00:00	Mountain	yes	2.86
Loch	2016-07-26 14:00:00	Mountain	yes	2.4
Loch	2016-07-26 15:00:00	Mountain	yes	1.4
Loch	2016-07-26 16:00:00	Mountain	yes	2.02
Loch	2016-07-26 17:00:00	Mountain	yes	2.84
Loch	2016-07-26 18:00:00	Mountain	yes	2.76
Loch	2016-07-26 19:00:00	Mountain	yes	4.42
Loch	2016-07-26 20:00:00	Mountain	yes	3.02
Loch	2016-07-26 21:00:00	Mountain	yes	3.13
Loch	2016-07-26 22:00:00	Mountain	yes	2.76
Loch	2016-07-26 23:00:00	Mountain	yes	2.69
Loch	2016-07-27 00:00:00	Mountain	yes	2.8
Loch	2016-07-27 01:00:00	Mountain	yes	2.86
Loch	2016-07-27 02:00:00	Mountain	yes	1.98
Loch	2016-07-27 03:00:00	Mountain	yes	1.64
Loch	2016-07-27 04:00:00	Mountain	yes	1.77
Loch	2016-07-27 05:00:00	Mountain	yes	1.71
Loch	2016-07-27 06:00:00	Mountain	yes	1.5
Loch	2016-07-27 07:00:00	Mountain	yes	2.67
Loch	2016-07-27 08:00:00	Mountain	yes	2.95
Loch	2016-07-27 09:00:00	Mountain	yes	2.73
Loch	2016-07-27 10:00:00	Mountain	yes	2.51
Loch	2016-07-27 11:00:00	Mountain	yes	2.47
Loch	2016-07-27 12:00:00	Mountain	yes	2.51
Loch	2016-07-27 13:00:00	Mountain	yes	2.77
Loch	2016-07-27 14:00:00	Mountain	yes	3.76
Loch	2016-07-27 15:00:00	Mountain	yes	4.04
Loch	2016-07-27 16:00:00	Mountain	yes	3.77
Loch	2016-07-27 17:00:00	Mountain	yes	3.36
Loch	2016-07-27 18:00:00	Mountain	yes	3.05
Loch	2016-07-27 19:00:00	Mountain	yes	2.6
Loch	2016-07-27 20:00:00	Mountain	yes	1.72
Loch	2016-07-27 21:00:00	Mountain	yes	0.23
Loch	2016-07-27 22:00:00	Mountain	yes	0
Loch	2016-07-27 23:00:00	Mountain	yes	0.02
Loch	2016-07-28 00:00:00	Mountain	yes	0.03
Loch	2016-07-28 01:00:00	Mountain	yes	0
Loch	2016-07-28 02:00:00	Mountain	yes	0
Loch	2016-07-28 03:00:00	Mountain	yes	0.2
Loch	2016-07-28 04:00:00	Mountain	yes	1.35
Loch	2016-07-28 05:00:00	Mountain	yes	1.38
Loch	2016-07-28 06:00:00	Mountain	yes	1.27
Loch	2016-07-28 07:00:00	Mountain	yes	0.68
Loch	2016-07-28 08:00:00	Mountain	yes	4.86
Loch	2016-07-28 09:00:00	Mountain	yes	4.91
Loch	2016-07-28 10:00:00	Mountain	yes	4.05
Loch	2016-07-28 11:00:00	Mountain	yes	3.61
Loch	2016-07-28 12:00:00	Mountain	yes	2.89
Loch	2016-07-28 13:00:00	Mountain	yes	3.72
Loch	2016-07-28 14:00:00	Mountain	yes	4.18
Loch	2016-07-28 15:00:00	Mountain	yes	3.87
Loch	2016-07-28 16:00:00	Mountain	yes	5.2
Loch	2016-07-28 17:00:00	Mountain	yes	3.49
Loch	2016-07-28 18:00:00	Mountain	yes	2.75
Loch	2016-07-28 19:00:00	Mountain	yes	2.89
Loch	2016-07-28 20:00:00	Mountain	yes	1.14
Loch	2016-07-28 21:00:00	Mountain	yes	0.71
Loch	2016-07-28 22:00:00	Mountain	yes	0.31
Loch	2016-07-28 23:00:00	Mountain	yes	0.07
Loch	2016-07-29 00:00:00	Mountain	yes	0.42
Loch	2016-07-29 01:00:00	Mountain	yes	0.74
Loch	2016-07-29 02:00:00	Mountain	yes	0.14
Loch	2016-07-29 03:00:00	Mountain	yes	0.11
Loch	2016-07-29 04:00:00	Mountain	yes	0
Loch	2016-07-29 05:00:00	Mountain	yes	0.08
Loch	2016-07-29 06:00:00	Mountain	yes	0.28
Loch	2016-07-29 07:00:00	Mountain	yes	0.38
Loch	2016-07-29 08:00:00	Mountain	yes	0.75
Loch	2016-07-29 09:00:00	Mountain	yes	2.32
Loch	2016-07-29 10:00:00	Mountain	yes	3.95
Loch	2016-07-29 11:00:00	Mountain	yes	3.52
Loch	2016-07-29 12:00:00	Mountain	yes	2.34
Loch	2016-07-29 13:00:00	Mountain	yes	2.48
Loch	2016-07-29 14:00:00	Mountain	yes	1.8
Loch	2016-07-29 15:00:00	Mountain	yes	1.17
Loch	2016-07-29 16:00:00	Mountain	yes	3.11
Loch	2016-07-29 17:00:00	Mountain	yes	2.97
Loch	2016-07-29 18:00:00	Mountain	yes	2.86
Loch	2016-07-29 19:00:00	Mountain	yes	3.04
Loch	2016-07-29 20:00:00	Mountain	yes	2.77
Loch	2016-07-29 21:00:00	Mountain	yes	1.33
Loch	2016-07-29 22:00:00	Mountain	yes	1.02
Loch	2016-07-29 23:00:00	Mountain	yes	0.11
Loch	2016-07-30 00:00:00	Mountain	yes	0.12
Loch	2016-07-30 01:00:00	Mountain	yes	0.03
Loch	2016-07-30 02:00:00	Mountain	yes	0.06
Loch	2016-07-30 03:00:00	Mountain	yes	1.06
Loch	2016-07-30 04:00:00	Mountain	yes	2.06
Loch	2016-07-30 05:00:00	Mountain	yes	2.59
Loch	2016-07-30 06:00:00	Mountain	yes	3.39
Loch	2016-07-30 07:00:00	Mountain	yes	3.86
Loch	2016-07-30 08:00:00	Mountain	yes	3.48
Loch	2016-07-30 09:00:00	Mountain	yes	1.94
Loch	2016-07-30 10:00:00	Mountain	yes	2.54
Loch	2016-07-30 11:00:00	Mountain	yes	4.88
Loch	2016-07-30 12:00:00	Mountain	yes	4.76
Loch	2016-07-30 13:00:00	Mountain	yes	5.25
Loch	2016-07-30 14:00:00	Mountain	yes	4.1
Loch	2016-07-30 15:00:00	Mountain	yes	3.43
Loch	2016-07-30 16:00:00	Mountain	yes	3.79
Loch	2016-07-30 17:00:00	Mountain	yes	3.55
Loch	2016-07-30 18:00:00	Mountain	yes	2.77
Loch	2016-07-30 19:00:00	Mountain	yes	2.54
Loch	2016-07-30 20:00:00	Mountain	yes	1.74
Loch	2016-07-30 21:00:00	Mountain	yes	0.22
Loch	2016-07-30 22:00:00	Mountain	yes	0
Loch	2016-07-30 23:00:00	Mountain	yes	0.08
Loch	2016-07-31 00:00:00	Mountain	yes	0.03
Loch	2016-07-31 01:00:00	Mountain	yes	0.14
Loch	2016-07-31 02:00:00	Mountain	yes	1.18
Loch	2016-07-31 03:00:00	Mountain	yes	2.35
Loch	2016-07-31 04:00:00	Mountain	yes	3.64
Loch	2016-07-31 05:00:00	Mountain	yes	4.27
Loch	2016-07-31 06:00:00	Mountain	yes	5.48
Loch	2016-07-31 07:00:00	Mountain	yes	6.17
Loch	2016-07-31 08:00:00	Mountain	yes	6.17
Loch	2016-07-31 09:00:00	Mountain	yes	5.71
Loch	2016-07-31 10:00:00	Mountain	yes	4.87
Loch	2016-07-31 11:00:00	Mountain	yes	3.91
Loch	2016-07-31 12:00:00	Mountain	yes	2.65
Loch	2016-07-31 13:00:00	Mountain	yes	2.44
Loch	2016-07-31 14:00:00	Mountain	yes	3.98
Loch	2016-07-31 15:00:00	Mountain	yes	3.22
Loch	2016-07-31 16:00:00	Mountain	yes	1.87
Loch	2016-07-31 17:00:00	Mountain	yes	3.61
Loch	2016-07-31 18:00:00	Mountain	yes	2.77
Loch	2016-07-31 19:00:00	Mountain	yes	1.06
Loch	2016-07-31 20:00:00	Mountain	yes	2.32
Loch	2016-07-31 21:00:00	Mountain	yes	2.87
Loch	2016-07-31 22:00:00	Mountain	yes	3.32
Loch	2016-07-31 23:00:00	Mountain	yes	3.54
Loch	2016-08-01 00:00:00	Mountain	yes	2.12
Loch	2016-08-01 01:00:00	Mountain	yes	2.31
Loch	2016-08-01 02:00:00	Mountain	yes	3.37
Loch	2016-08-01 03:00:00	Mountain	yes	4
Loch	2016-08-01 04:00:00	Mountain	yes	4.44
Loch	2016-08-01 05:00:00	Mountain	yes	4.56
Loch	2016-08-01 06:00:00	Mountain	yes	4.3
Loch	2016-08-01 07:00:00	Mountain	yes	4.29
Loch	2016-08-01 08:00:00	Mountain	yes	3.16
Loch	2016-08-01 09:00:00	Mountain	yes	3.63
Loch	2016-08-01 10:00:00	Mountain	yes	4.94
Loch	2016-08-01 11:00:00	Mountain	yes	4.62
Loch	2016-08-01 12:00:00	Mountain	yes	4.86
Loch	2016-08-01 13:00:00	Mountain	yes	6.97
Loch	2016-08-01 14:00:00	Mountain	yes	5.65
Loch	2016-08-01 15:00:00	Mountain	yes	3.51
Loch	2016-08-01 16:00:00	Mountain	yes	2.64
Loch	2016-08-01 17:00:00	Mountain	yes	1.81
Loch	2016-08-01 18:00:00	Mountain	yes	1.19
Loch	2016-08-01 19:00:00	Mountain	yes	0.6
Loch	2016-08-01 20:00:00	Mountain	yes	1.32
Loch	2016-08-01 21:00:00	Mountain	yes	0.34
Loch	2016-08-01 22:00:00	Mountain	yes	0.03
Loch	2016-08-01 23:00:00	Mountain	yes	0.12
Loch	2016-08-02 00:00:00	Mountain	yes	0.02
Loch	2016-08-02 01:00:00	Mountain	yes	0.13
Loch	2016-08-02 02:00:00	Mountain	yes	0.14
Loch	2016-08-02 03:00:00	Mountain	yes	0
Loch	2016-08-02 04:00:00	Mountain	yes	0.04
Loch	2016-08-02 05:00:00	Mountain	yes	0.04
Loch	2016-08-02 06:00:00	Mountain	yes	0.04
Loch	2016-08-02 07:00:00	Mountain	yes	0.02
Loch	2016-08-02 08:00:00	Mountain	yes	0.02
Loch	2016-08-02 09:00:00	Mountain	yes	0.32
Loch	2016-08-02 10:00:00	Mountain	yes	1.34
Loch	2016-08-02 11:00:00	Mountain	yes	1.15
Loch	2016-08-02 12:00:00	Mountain	yes	1.84
Loch	2016-08-02 13:00:00	Mountain	yes	1.93
Loch	2016-08-02 14:00:00	Mountain	yes	2.23
Loch	2016-08-02 15:00:00	Mountain	yes	1.58
Loch	2016-08-02 16:00:00	Mountain	yes	0.69
Loch	2016-08-02 17:00:00	Mountain	yes	0.32
Loch	2016-08-02 18:00:00	Mountain	yes	0.58
Loch	2016-08-02 19:00:00	Mountain	yes	0.63
Loch	2016-08-02 20:00:00	Mountain	yes	0.23
Loch	2016-08-02 21:00:00	Mountain	yes	0.38
Loch	2016-08-02 22:00:00	Mountain	yes	0.37
Loch	2016-08-02 23:00:00	Mountain	yes	0.26
Loch	2016-08-03 00:00:00	Mountain	yes	0.35
Loch	2016-08-03 01:00:00	Mountain	yes	0.09
Loch	2016-08-03 02:00:00	Mountain	yes	0.26
Loch	2016-08-03 03:00:00	Mountain	yes	0.04
Loch	2016-08-03 04:00:00	Mountain	yes	1.03
Loch	2016-08-03 05:00:00	Mountain	yes	2.38
Loch	2016-08-03 06:00:00	Mountain	yes	2.52
Loch	2016-08-03 07:00:00	Mountain	yes	2.33
Loch	2016-08-03 08:00:00	Mountain	yes	2.2
Loch	2016-08-03 09:00:00	Mountain	yes	1.89
Loch	2016-08-03 10:00:00	Mountain	yes	2.42
Loch	2016-08-03 11:00:00	Mountain	yes	3.76
Loch	2016-08-03 12:00:00	Mountain	yes	3.34
Loch	2016-08-03 13:00:00	Mountain	yes	1.64
Loch	2016-08-03 14:00:00	Mountain	yes	2.45
Loch	2016-08-03 15:00:00	Mountain	yes	1.01
